,PH,TURBIDEZ,TEMPERATURA_AGUA,COND_ELETRICA_ESPECIFICA,TEMPERATURA_AR,OXIGENIO_DISSOLVIDO,SALINIDADE,ALCALINIDADE,SOLIDOS_DISSOLVIDOS,TRANSPARENCIA_AGUA,SOLIDOS_SUSPENSOS,PROFUNDIDADE,CLORETO_TOTAL,NITRATO,ORTOFOSFATO,FOSFORO_TOTAL,NITROGENIO_AMONIACAL,VAZAO,FLUORETO_TOTAL,BROMETO_TOTAL,NITRITO,SULFATO,FOSFATO_TOTAL
PH,1.0,-0.23225128609484547,0.22288827439815376,0.08453972412802345,0.13908419795590637,0.2119487663745036,0.08498018244671224,-0.12803219126500298,0.14320764465127528,0.19223568804674648,0.14565896844455678,-0.5395103076186953,0.012993852205578263,0.06961284441729784,-0.11441541040683666,0.13659386994318723,0.2469349687926747,-0.40124299292788873,-0.6773355288764553,0.08794920459502337,-0.6773355288764553,0.3816304222635945,-0.6773355288764553
TURBIDEZ,-0.23225128609484547,1.0,-0.12019669052279697,0.14945212152913936,0.08423614784923864,-0.05517017497267896,0.14567228692481599,0.0883073118567651,-0.03903003219327543,-0.4710822783780961,-0.03726345450780431,0.20685256742573652,0.06067995327162634,0.41469629321548673,0.19111154022529944,0.22091493914125568,0.03808600915447648,0.3818889187484939,0.13128553318540742,0.270906068030885,0.13128553318540742,0.029057646637920646,0.13128553318540742
TEMPERATURA_AGUA,0.22288827439815376,-0.12019669052279697,1.0,0.0023100536900360403,0.3320940352390974,0.08995761587933192,-0.0043071247980753175,-0.00792930662719733,0.1177542263541897,0.18660839367265222,0.06931446669044433,-0.09048212287635085,0.046520752315065805,0.2716936067458227,0.10949250340519637,0.49147959914552186,0.19143603513779192,-0.4469953193712179,-0.4733055239540726,-0.03404451525364164,-0.4733055239540726,0.24331944527844204,-0.4733055239540726
COND_ELETRICA_ESPECIFICA,0.08453972412802345,0.14945212152913936,0.0023100536900360403,1.0,0.05111208519877615,-0.03558558080107413,0.9997428599176378,0.13940329745056826,0.16122829436347613,-0.08724926584708381,0.32475081578040527,0.15189066569926635,0.2975047837755983,-0.15390050280743142,0.0626848886880976,0.014869387773403244,0.23748040229562353,-0.12741769811394688,0.07859746689381532,0.5330254713970851,0.07859746689381532,0.35041973393772197,0.07859746689381532
TEMPERATURA_AR,0.13908419795590637,0.08423614784923864,0.3320940352390974,0.05111208519877615,1.0,0.0021995663186240486,0.048910283492828756,-0.05277913281059852,0.02467688107754996,0.09973682906495779,-0.023996107595161006,-0.06815295835525624,-0.10945546054954167,0.21112947254064462,0.250027698716572,0.15819832326752511,0.23914583836898393,-0.08110763808049111,-0.252704824285944,-0.27532151428237084,-0.252704824285944,-0.10746883413203603,-0.252704824285944
OXIGENIO_DISSOLVIDO,0.2119487663745036,-0.05517017497267896,0.08995761587933192,-0.03558558080107413,0.0021995663186240486,1.0,-0.035085449778268815,0.2088677545641622,0.023738979690676145,-0.019046041235086658,0.046544536323196634,-0.1396909752900114,0.004297971294044295,0.028053303459868187,-0.145155820909601,0.12740412389823108,-0.18335310939839713,-0.33294703049483626,0.10842047519954678,0.003362722983245305,0.10842047519954678,0.062318947342422444,0.10842047519954678
SALINIDADE,0.08498018244671224,0.14567228692481599,-0.0043071247980753175,0.9997428599176378,0.048910283492828756,-0.035085449778268815,1.0,0.13309340137514833,0.1642990131607281,-0.08784112962378615,0.33325193844665113,0.11596605677391454,0.295624648045924,-0.1708428891431514,0.06696665055166832,0.00564367014905897,0.2476152549086638,-0.09865504577808212,0.095364322059878,0.5303329432949322,0.095364322059878,0.3397293289047322,0.095364322059878
ALCALINIDADE,-0.12803219126500298,0.0883073118567651,-0.00792930662719733,0.13940329745056826,-0.05277913281059852,0.2088677545641622,0.13309340137514833,1.0,-0.1308175578539554,-0.24379347957393083,-0.1364544036326053,0.3666215945664885,0.17023984853089172,0.011047360071721468,-0.13841567467564406,-0.1252942620262477,-0.2362745908151075,-0.019084197506458872,-0.971913057730971,0.16370278497466065,-0.971913057730971,0.4470334697837607,-0.971913057730971
SOLIDOS_DISSOLVIDOS,0.14320764465127528,-0.03903003219327543,0.1177542263541897,0.16122829436347613,0.02467688107754996,0.023738979690676145,0.1642990131607281,-0.1308175578539554,1.0,-0.012257452901606968,0.8623394241984818,-0.22552969769935405,0.246689634980832,-0.16951266573862567,0.4414363488372714,-0.23242001016203315,-0.06163211835569735,-0.062331063268350854,0.1203538793521775,0.21012122784504367,0.1203538793521775,-0.0014807179999554456,0.1203538793521775
TRANSPARENCIA_AGUA,0.19223568804674648,-0.4710822783780961,0.18660839367265222,-0.08724926584708381,0.09973682906495779,-0.019046041235086658,-0.08784112962378615,-0.24379347957393083,-0.012257452901606968,1.0,-0.0826718989361116,-0.08761932344328842,-0.012224935447798811,-0.3358495837974502,0.2548177541893602,-0.18803837280166902,0.1187416455629002,-0.3026209994476651,-0.48632477246075173,0.03187088642991889,-0.48632477246075173,0.31252037278037353,-0.48632477246075173
