,PH,TURBIDEZ,TEMPERATURA_AGUA,COND_ELETRICA_ESPECIFICA,TEMPERATURA_AR,OXIGENIO_DISSOLVIDO,SALINIDADE,ALCALINIDADE,SOLIDOS_DISSOLVIDOS,TRANSPARENCIA_AGUA,SOLIDOS_SUSPENSOS,PROFUNDIDADE,CLORETO_TOTAL,NITRATO,ORTOFOSFATO,FOSFORO_TOTAL,NITROGENIO_AMONIACAL,VAZAO,FLUORETO_TOTAL,BROMETO_TOTAL,NITRITO,SULFATO,FOSFATO_TOTAL
PH,316,316,315,315,312,311,295,217,203,201,172,100,71,59,39,39,39,31,20,20,20,20,20
TURBIDEZ,316,316,315,315,312,311,295,217,203,201,172,100,71,59,39,39,39,31,20,20,20,20,20
TEMPERATURA_AGUA,315,315,315,314,311,310,294,216,202,200,172,100,71,59,39,39,39,31,20,20,20,20,20
COND_ELETRICA_ESPECIFICA,315,315,314,315,311,310,294,216,202,200,171,100,70,58,39,39,39,31,19,19,19,19,19
TEMPERATURA_AR,312,312,311,311,313,307,291,216,202,201,173,100,71,59,39,39,39,32,20,20,20,20,20
OXIGENIO_DISSOLVIDO,311,311,310,310,307,311,290,213,199,197,169,97,68,56,36,36,36,31,20,20,20,20,20
SALINIDADE,295,295,294,294,291,290,295,217,203,201,172,100,71,59,39,39,39,31,20,20,20,20,20
ALCALINIDADE,217,217,216,216,216,213,217,219,205,202,174,91,71,59,39,39,39,31,20,20,20,20,20
SOLIDOS_DISSOLVIDOS,203,203,202,202,202,199,203,205,205,189,162,78,59,59,39,39,39,31,20,20,20,20,20
TRANSPARENCIA_AGUA,201,201,200,200,201,197,201,202,189,202,161,87,67,56,37,37,37,29,19,19,19,19,19
SOLIDOS_SUSPENSOS,172,172,172,171,173,169,172,174,162,161,174,78,71,59,39,39,39,31,20,20,20,20,20
PROFUNDIDADE,100,100,100,100,100,97,100,91,78,87,78,100,52,40,34,34,34,9,6,6,6,6,6
CLORETO_TOTAL,71,71,71,70,71,68,71,71,59,67,71,52,71,59,39,39,39,9,20,20,20,20,20
NITRATO,59,59,59,58,59,56,59,59,59,56,59,40,59,59,39,39,39,9,20,20,20,20,20
ORTOFOSFATO,39,39,39,39,39,36,39,39,39,37,39,34,39,39,39,39,39,4,0,0,0,0,0
FOSFORO_TOTAL,39,39,39,39,39,36,39,39,39,37,39,34,39,39,39,39,39,4,0,0,0,0,0
NITROGENIO_AMONIACAL,39,39,39,39,39,36,39,39,39,37,39,34,39,39,39,39,39,4,0,0,0,0,0
VAZAO,31,31,31,31,32,31,31,31,31,29,31,9,9,9,4,4,4,33,5,5,5,5,5
FLUORETO_TOTAL,20,20,20,19,20,20,20,20,20,19,20,6,20,20,0,0,0,5,20,20,20,20,20
BROMETO_TOTAL,20,20,20,19,20,20,20,20,20,19,20,6,20,20,0,0,0,5,20,20,20,20,20
NITRITO,20,20,20,19,20,20,20,20,20,19,20,6,20,20,0,0,0,5,20,20,20,20,20
SULFATO,20,20,20,19,20,20,20,20,20,19,20,6,20,20,0,0,0,5,20,20,20,20,20
FOSFATO_TOTAL,20,20,20,19,20,20,20,20,20,19,20,6,20,20,0,0,0,5,20,20,20,20,20
