ID_AMOSTRA,LINHA_BASE,ANO,PERIODO,CAMPANHA,ABA_ORIGEM,LINHA_ORIGEM,RNQA,HIDRO,ROTA,MUNICIPIO,CORPODAGUA,NUMERO_COLETA,NUMERO_LAUDO,DATA_COLETA,HORARIO_COLETA,NUMERO_MEDICAO,LATITUDE,LONGITUDE,CHOVEU_EM_24H,PROFUNDIDADE,VAZAO,TEMPERATURA_AR,TEMPERATURA_AGUA,PH,OXIGENIO_DISSOLVIDO,COND_ELETRICA_ESPECIFICA,TURBIDEZ,SALINIDADE,ALCALINIDADE,TRANSPARENCIA_AGUA,SOLIDOS_DISSOLVIDOS,SOLIDOS_SUSPENSOS,CLORETO_TOTAL,FLUORETO_TOTAL,BROMETO_TOTAL,NITRATO,NITRITO,SULFATO,FOSFATO_TOTAL,ORTOFOSFATO,FOSFORO_TOTAL,NITROGENIO_AMONIACAL,SITUACAO,OBSERVACOES,ORIG_FLUORETO_TOTAL,ORIG_BROMETO_TOTAL,ORIG_NITRATO,ORIG_NITRITO,ORIG_SULFATO,ORIG_FOSFATO_TOTAL,BACIA_ITAPECURU,CRITERIO_BACIA,FLAG_VALOR_INVALIDO,MOTIVO_VALOR_INVALIDO,VALIDO_PARA_CALCULO,OUTLIER_PROFUNDIDADE,OUTLIER_VAZAO,OUTLIER_TEMPERATURA_AR,OUTLIER_TEMPERATURA_AGUA,OUTLIER_PH,OUTLIER_OXIGENIO_DISSOLVIDO,OUTLIER_COND_ELETRICA_ESPECIFICA,OUTLIER_TURBIDEZ,OUTLIER_SALINIDADE,OUTLIER_ALCALINIDADE,OUTLIER_TRANSPARENCIA_AGUA,OUTLIER_SOLIDOS_DISSOLVIDOS,OUTLIER_SOLIDOS_SUSPENSOS,OUTLIER_CLORETO_TOTAL,OUTLIER_FLUORETO_TOTAL,OUTLIER_BROMETO_TOTAL,OUTLIER_NITRATO,OUTLIER_NITRITO,OUTLIER_SULFATO,OUTLIER_FOSFATO_TOTAL,OUTLIER_ORTOFOSFATO,OUTLIER_FOSFORO_TOTAL,OUTLIER_NITROGENIO_AMONIACAL,N_OUTLIERS_LINHA
ITA-0001,54,2017,,1.0,2017 REMQAS,54,MA-7191-IE-4,33698000.0,,ROSARIO,RIO ITAPECURU,,,2017-03-27,,,-2.90911,-44.2429,,,,26.4,27.96,6.35,5.7,65.6,57.84,,,,,,,,,,,,,,,,,,,,,,,,SIM,RIO PRINCIPAL DA BACIA,NAO,,True,,,False,False,False,False,False,False,,,,,,,,,,,,,,,,0
ITA-0002,55,2017,,1.0,2017 REMQAS,55,MA-7181-I-4,,,ROSARIO,RIO ITAPECURU,,,2017-03-27,,,-3.04538,-44.2365,,,,23.3,27.9,6.4,5.81,61.7,37.5,,,,,,,,,,,,,,,,NAO PREENCHIVEL: HIDRO AMBIGUO,,,,,,,,SIM,RIO PRINCIPAL DA BACIA,NAO,,True,,,False,False,False,False,False,False,,,,,,,,,,,,,,,,0
ITA-0003,56,2017,,1.0,2017 REMQAS,56,MA-7181-I-2,33693000.0,,SANTA RITA,RIO ITAPECURU,,,2017-01-27,,,-3.15473,-44.2809,,,,23.5,27.9,5.88,5.33,64.2,50.74,,,,,,,,,,,,,,,,,,,,,,,,SIM,RIO PRINCIPAL DA BACIA,NAO,,True,,,False,False,False,False,False,False,,,,,,,,,,,,,,,,0
ITA-0004,58,2017,,1.0,2017 REMQAS,58,MA-7164-I-19,33680001.0,,CANTANHEDE,RIO ITAPECURU,,,2017-03-29,,,-3.62778,-44.3792,,,,30.0,29.0,6.61,6.35,87.0,47.7,,,,,,,,,,,,,,,,,,,,,,,,SIM,RIO PRINCIPAL DA BACIA,NAO,,True,,,False,False,False,False,False,False,,,,,,,,,,,,,,,,0
ITA-0005,60,2017,,1.0,2017 REMQAS,60,MA-7181-I-1,33690000.0,,ITAPECURU-MIRIM,RIO ITAPECURU,,,2017-03-29,,,-3.37039,-44.3447,,,,30.0,29.8,6.6,6.43,87.0,47.8,,,,,,,,,,,,,,,,,,,,,,,,SIM,RIO PRINCIPAL DA BACIA,NAO,,True,,,False,False,False,False,False,False,,,,,,,,,,,,,,,,0
ITA-0006,61,2017,,1.0,2017 REMQAS,61,MA-7181-I-3,33685000.0,,ITAPECURU-MIRIM,RIO ITAPECURU,,,2017-03-28,,,-3.53386,-44.3959,,,,26.47,29.0,6.2,5.84,72.5,56.3,,,,,,,,,,,,,,,,,,,,,,,,SIM,RIO PRINCIPAL DA BACIA,NAO,,True,,,False,False,False,False,False,False,,,,,,,,,,,,,,,,0
ITA-0007,95,2017,,1.0,2017 REMQAS,95,MA-7187-I-4,,,COLINAS,RIO ITAPECURU,,,2017-04-24,,,,,,,,25.92,27.3,6.64,7.47,13.9,6.66,,,,,,,,,,,,,,,,HIDRO NAO INFORMADO NA ORIGEM (NAO POSSUI),,,,,,,,SIM,RIO PRINCIPAL DA BACIA,NAO,,True,,,False,False,False,False,False,False,,,,,,,,,,,,,,,,0
ITA-0008,96,2017,,1.0,2017 REMQAS,96,MA-7187-I-1,,,COLINAS,RIO ITAPECURU,,,2017-04-24,,,,,,,,27.44,27.44,6.24,7.25,33.4,68.84,,,,,,,,,,,,,,,,,,,,,,,,SIM,RIO PRINCIPAL DA BACIA,NAO,,True,,,False,False,False,False,False,False,,,,,,,,,,,,,,,,0
ITA-0009,103,2017,,1.0,2017 REMQAS,103,MA-7182-I-3,,,PIRAPEMAS,RIO PERITORO,,,2017-05-10,,,-3.86152,-44.2861,,,,29.93,28.31,7.55,5.5,100.5,17.85,,,,,,,,,,,,,,,,NAO PREENCHIVEL: HIDRO AMBIGUO,,,,,,,,SIM,AFLUENTE OFICIAL DO ITAPECURU (CODEVASF/IBGE; NUGEO-UEMA),NAO,,True,,,False,False,False,False,False,False,,,,,,,,,,,,,,,,0
ITA-0010,104,2017,,1.0,2017 REMQAS,104,MA-7182-I-2,,,PIRAPEMAS,RIO PERITORO,,,2017-05-10,,,-3.82522,-44.2871,,,,28.08,28.25,6.7,5.73,98.4,19.8,,,,,,,,,,,,,,,,NAO PREENCHIVEL: HIDRO AMBIGUO,,,,,,,,SIM,AFLUENTE OFICIAL DO ITAPECURU (CODEVASF/IBGE; NUGEO-UEMA),NAO,,True,,,False,False,False,False,False,False,,,,,,,,,,,,,,,,0
