RNQA,CORPODAGUA,PERIODO,PARAMETRO,N_VALIDO,MEDIA,MEDIANA,DESVIO_PADRAO,MINIMO,MAXIMO
MA-7164-I-19,RIO ITAPECURU,2.0,PROFUNDIDADE,1,1.25,1.25,,1.25,1.25
MA-7164-I-19,RIO ITAPECURU,7.0,PROFUNDIDADE,1,0.0,0.0,,0.0,0.0
MA-7164-I-19,RIO ITAPECURU,8.0,PROFUNDIDADE,1,0.33,0.33,,0.33,0.33
MA-7164-I-19,RIO ITAPECURU,10.0,PROFUNDIDADE,1,0.08,0.08,,0.08,0.08
MA-7181-I-1,RIO ITAPECURU,2.0,PROFUNDIDADE,1,1.26,1.26,,1.26,1.26
MA-7181-I-1,RIO ITAPECURU,5.0,PROFUNDIDADE,2,0.035,0.035,0.04949747468305833,0.0,0.07
MA-7181-I-1,RIO ITAPECURU,7.0,PROFUNDIDADE,2,0.225,0.225,0.31819805153394637,0.0,0.45
MA-7181-I-1,RIO ITAPECURU,8.0,PROFUNDIDADE,1,0.67,0.67,,0.67,0.67
MA-7181-I-1,RIO ITAPECURU,10.0,PROFUNDIDADE,1,0.204,0.204,,0.204,0.204
MA-7181-I-2,RIO ITAPECURU,1.0,PROFUNDIDADE,1,31.69,31.69,,31.69,31.69
MA-7181-I-2,RIO ITAPECURU,2.0,PROFUNDIDADE,1,31.22,31.22,,31.22,31.22
MA-7181-I-2,RIO ITAPECURU,5.0,PROFUNDIDADE,2,0.105,0.105,0.14849242404917498,0.0,0.21
MA-7181-I-2,RIO ITAPECURU,7.0,PROFUNDIDADE,1,0.0,0.0,,0.0,0.0
MA-7181-I-2,RIO ITAPECURU,8.0,PROFUNDIDADE,1,0.72,0.72,,0.72,0.72
MA-7181-I-2,RIO ITAPECURU,10.0,PROFUNDIDADE,1,0.296,0.296,,0.296,0.296
MA-7181-I-3,RIO ITAPECURU,2.0,PROFUNDIDADE,1,1.23,1.23,,1.23,1.23
MA-7181-I-3,RIO ITAPECURU,5.0,PROFUNDIDADE,2,0.06,0.06,0.08485281374238571,0.0,0.12
MA-7181-I-3,RIO ITAPECURU,7.0,PROFUNDIDADE,1,0.0,0.0,,0.0,0.0
MA-7181-I-3,RIO ITAPECURU,8.0,PROFUNDIDADE,1,0.45,0.45,,0.45,0.45
MA-7181-I-3,RIO ITAPECURU,10.0,PROFUNDIDADE,1,0.123,0.123,,0.123,0.123
MA-7181-I-4,RIO ITAPECURU,5.0,PROFUNDIDADE,2,0.0,0.0,0.0,0.0,0.0
MA-7181-I-4,RIO ITAPECURU,7.0,PROFUNDIDADE,1,0.0,0.0,,0.0,0.0
MA-7181-I-4,RIO ITAPECURU,8.0,PROFUNDIDADE,1,0.73,0.73,,0.73,0.73
MA-7181-I-4,RIO ITAPECURU,10.0,PROFUNDIDADE,1,0.193,0.193,,0.193,0.193
MA-7182-I-2,RIO PERITORO,5.0,PROFUNDIDADE,2,0.035,0.035,0.007071067811865474,0.03,0.04
MA-7182-I-2,RIO PERITORO,6.0,PROFUNDIDADE,1,0.35,0.35,,0.35,0.35
MA-7182-I-2,RIO PERITORO,7.0,PROFUNDIDADE,2,0.4295,0.4295,0.4744686501761734,0.094,0.765
MA-7182-I-3,RIO PERITORO,5.0,PROFUNDIDADE,1,0.14,0.14,,0.14,0.14
MA-7182-I-3,RIO PERITORO,6.0,PROFUNDIDADE,1,0.19,0.19,,0.19,0.19
MA-7182-I-3,RIO PERITORO,7.0,PROFUNDIDADE,2,0.422,0.422,0.42143564158718233,0.124,0.72
MA-7183-I-3,RIO ITAPECURU,6.0,PROFUNDIDADE,1,0.186,0.186,,0.186,0.186
MA-7183-I-3,RIO ITAPECURU,7.0,PROFUNDIDADE,2,0.46299999999999997,0.46299999999999997,0.37193816690412396,0.2,0.726
MA-7183-I-4,RIO ITAPECURU,5.0,PROFUNDIDADE,2,0.01,0.01,0.01414213562373095,0.0,0.02
MA-7183-I-4,RIO ITAPECURU,6.0,PROFUNDIDADE,1,0.17,0.17,,0.17,0.17
MA-7183-I-4,RIO ITAPECURU,7.0,PROFUNDIDADE,2,0.40149999999999997,0.40149999999999997,0.4447701653663384,0.087,0.716
MA-7184-I-1,RIO CODOZINHO,7.0,PROFUNDIDADE,2,0.275,0.275,0.38890872965260115,0.0,0.55
MA-7185-I-1,RIACHO PERITORO,6.0,PROFUNDIDADE,1,0.185,0.185,,0.185,0.185
MA-7185-I-1,RIACHO PERITORO,7.0,PROFUNDIDADE,2,0.6315,0.6315,0.36981684656056435,0.37,0.893
MA-7185-I-10,RIO ITAPECURU,6.0,PROFUNDIDADE,1,0.211,0.211,,0.211,0.211
MA-7185-I-10,RIO ITAPECURU,7.0,PROFUNDIDADE,2,0.343,0.343,0.48507525189397166,0.0,0.686
MA-7185-I-11,RIO ITAPECURU,5.0,PROFUNDIDADE,2,0.07500000000000001,0.07500000000000001,0.035355339059327376,0.05,0.1
MA-7185-I-11,RIO ITAPECURU,6.0,PROFUNDIDADE,1,0.27,0.27,,0.27,0.27
MA-7185-I-11,RIO ITAPECURU,7.0,PROFUNDIDADE,2,0.3375,0.3375,0.47729707730091964,0.0,0.675
MA-7185-I-12,RIO ITAPECURU,5.0,PROFUNDIDADE,2,0.045,0.045,0.007071067811865479,0.04,0.05
MA-7185-I-12,RIO ITAPECURU,6.0,PROFUNDIDADE,1,0.27,0.27,,0.27,0.27
MA-7185-I-12,RIO ITAPECURU,7.0,PROFUNDIDADE,2,0.34,0.34,0.4808326112068524,0.0,0.68
MA-7185-I-3,RIO TAPUIO,2.0,PROFUNDIDADE,1,31.26,31.26,,31.26,31.26
MA-7185-I-3,RIO TAPUIO,5.0,PROFUNDIDADE,2,0.0,0.0,0.0,0.0,0.0
MA-7185-I-3,RIO TAPUIO,7.0,PROFUNDIDADE,1,0.0,0.0,,0.0,0.0
MA-7185-I-3,RIO TAPUIO,10.0,PROFUNDIDADE,1,0.318,0.318,,0.318,0.318
MA-7185-I-5,RIO PIRAPEMAS,5.0,PROFUNDIDADE,2,0.0,0.0,0.0,0.0,0.0
MA-7185-I-5,RIO PIRAPEMAS,6.0,PROFUNDIDADE,1,0.14,0.14,,0.14,0.14
MA-7185-I-5,RIO PIRAPEMAS,7.0,PROFUNDIDADE,2,0.353,0.353,0.39739401102683974,0.072,0.634
MA-7185-I-6,RIO ITAPECURU,7.0,PROFUNDIDADE,2,0.6385000000000001,0.6385000000000001,0.044547727214752496,0.607,0.67
MA-7185-I-7,RIO ITAPECURU,6.0,PROFUNDIDADE,1,0.196,0.196,,0.196,0.196
MA-7185-I-7,RIO ITAPECURU,7.0,PROFUNDIDADE,2,0.37,0.37,0.5232590180780452,0.0,0.74
MA-7185-I-8,RIO ITAPECURU,5.0,PROFUNDIDADE,2,0.091,0.091,0.0,0.091,0.091
MA-7185-I-8,RIO ITAPECURU,6.0,PROFUNDIDADE,1,0.302,0.302,,0.302,0.302
MA-7185-I-8,RIO ITAPECURU,7.0,PROFUNDIDADE,2,0.3345,0.3345,0.4730544366138003,0.0,0.669
MA-7185-I-9,RIO ITAPECURU,5.0,PROFUNDIDADE,2,0.02,0.02,0.0282842712474619,0.0,0.04
MA-7185-I-9,RIO ITAPECURU,6.0,PROFUNDIDADE,1,0.06,0.06,,0.06,0.06
MA-7187-I-11,RIO ITAPECURU,10.0,PROFUNDIDADE,1,0.144,0.144,,0.144,0.144
MA-7187-I-2,RIO ITAPECURU,10.0,PROFUNDIDADE,1,0.247,0.247,,0.247,0.247
MA-7187-I-4,RIO ALPERCATAS,10.0,PROFUNDIDADE,1,0.232,0.232,,0.232,0.232
MA-7189-I-4,RIO ITAPECURU,10.0,PROFUNDIDADE,1,0.152,0.152,,0.152,0.152
MA-7191-IE-4,RIO ITAPECURU,1.0,PROFUNDIDADE,1,31.16,31.16,,31.16,31.16
MA-7191-IE-4,RIO ITAPECURU,2.0,PROFUNDIDADE,2,30.715,30.715,0.6858935777509503,30.23,31.2
MA-7191-IE-4,RIO ITAPECURU,5.0,PROFUNDIDADE,2,0.015,0.015,0.021213203435596427,0.0,0.03
MA-7191-IE-4,RIO ITAPECURU,7.0,PROFUNDIDADE,1,0.0,0.0,,0.0,0.0
MA-7191-IE-4,RIO ITAPECURU,8.0,PROFUNDIDADE,1,0.8,0.8,,0.8,0.8
MA-7191-IE-4,RIO ITAPECURU,10.0,PROFUNDIDADE,1,0.206,0.206,,0.206,0.206
MA-7199-I-1,RIO ITAPECURU,10.0,PROFUNDIDADE,1,0.124,0.124,,0.124,0.124
MA-7164-I-19,RIO ITAPECURU,6.0,VAZAO,1,898.3,898.3,,898.3,898.3
MA-7164-I-19,RIO ITAPECURU,7.0,VAZAO,1,50.93,50.93,,50.93,50.93
MA-7164-I-19,RIO ITAPECURU,8.0,VAZAO,2,147.91500000000002,147.91500000000002,164.0558443030909,31.91,263.92
MA-7164-I-19,RIO ITAPECURU,9.0,VAZAO,2,38.815,38.815,17.133197308150045,26.7,50.93
MA-7183-I-3,RIO ITAPECURU,6.0,VAZAO,1,54.8,54.8,,54.8,54.8
MA-7183-I-3,RIO ITAPECURU,7.0,VAZAO,1,54.78,54.78,,54.78,54.78
MA-7183-I-3,RIO ITAPECURU,8.0,VAZAO,2,90.27,90.27,60.48591406269727,47.5,133.04
MA-7183-I-3,RIO ITAPECURU,9.0,VAZAO,1,13.6,13.6,,13.6,13.6
MA-7185-I-1,RIACHO PERITORO,6.0,VAZAO,2,5.35,5.35,6.7175144212722016,0.6,10.1
MA-7185-I-6,RIO ITAPECURU,7.0,VAZAO,1,59.2,59.2,,59.2,59.2
MA-7185-I-6,RIO ITAPECURU,8.0,VAZAO,2,52.93,52.93,21.156634893101504,37.97,67.89
MA-7185-I-6,RIO ITAPECURU,9.0,VAZAO,2,39.64,39.64,11.511698397716994,31.5,47.78
MA-7185-I-7,RIO ITAPECURU,3.0,VAZAO,2,33.349000000000004,33.349000000000004,1.2289515857022217,32.48,34.218
MA-7185-I-7,RIO ITAPECURU,6.0,VAZAO,2,51.945,51.945,14.361338725898781,41.79,62.1
MA-7185-I-7,RIO ITAPECURU,8.0,VAZAO,2,77.815,77.815,49.900525548334656,42.53,113.1
MA-7185-I-7,RIO ITAPECURU,9.0,VAZAO,1,63.16,63.16,,63.16,63.16
MA-7185-I-8,RIO ITAPECURU,5.0,VAZAO,1,66.66,66.66,,66.66,66.66
MA-7185-I-8,RIO ITAPECURU,6.0,VAZAO,2,42.31,42.31,3.0971277015970777,40.12,44.5
MA-7185-I-8,RIO ITAPECURU,7.0,VAZAO,1,59.74,59.74,,59.74,59.74
MA-7185-I-8,RIO ITAPECURU,8.0,VAZAO,2,94.5,94.5,73.63810019276706,42.43,146.57
MA-7185-I-8,RIO ITAPECURU,9.0,VAZAO,2,42.885000000000005,42.885000000000005,13.130972926634191,33.6,52.17
MA-7164-I-19,RIO ITAPECURU,1.0,TEMPERATURA_AR,1,27.5,27.5,,27.5,27.5
MA-7164-I-19,RIO ITAPECURU,2.0,TEMPERATURA_AR,2,26.98,26.98,0.8768124086713204,26.36,27.6
MA-7164-I-19,RIO ITAPECURU,3.0,TEMPERATURA_AR,2,29.535,29.535,1.6475588001646544,28.37,30.7
MA-7164-I-19,RIO ITAPECURU,4.0,TEMPERATURA_AR,2,26.895,26.895,1.8879751057680831,25.56,28.23
MA-7164-I-19,RIO ITAPECURU,6.0,TEMPERATURA_AR,1,26.57,26.57,,26.57,26.57
MA-7164-I-19,RIO ITAPECURU,7.0,TEMPERATURA_AR,2,28.975,28.975,1.4495689014324216,27.95,30.0
