PARAMETRO,N_VALIDO_GLOBAL,Q1,Q3,IQR,LIMITE_INFERIOR,LIMITE_SUPERIOR
PROFUNDIDADE,100,0.015,0.61375,0.59875,-0.883125,1.511875
VAZAO,33,34.218,62.1,27.881999999999998,-7.60499999999999,103.923
TEMPERATURA_AR,313,25.93,28.1,2.1700000000000017,22.674999999999997,31.355000000000004
TEMPERATURA_AGUA,315,28.325,30.325,2.0,25.325,33.325
PH,316,6.56,7.37,0.8100000000000005,5.344999999999999,8.585
OXIGENIO_DISSOLVIDO,311,5.99,7.615,1.625,3.5525,10.0525
COND_ELETRICA_ESPECIFICA,315,63.0,126.94999999999999,63.94999999999999,-32.92499999999998,222.87499999999997
TURBIDEZ,316,20.395,56.3775,35.9825,-33.57875,110.35125
SALINIDADE,295,0.03,0.06,0.03,-0.015,0.105
ALCALINIDADE,219,13.0,36.0,23.0,-21.5,70.5
TRANSPARENCIA_AGUA,202,0.2,0.5,0.3,-0.24999999999999994,0.95
SOLIDOS_DISSOLVIDOS,205,60.0,260.0,200.0,-240.0,560.0
SOLIDOS_SUSPENSOS,174,12.25,46.475,34.225,-39.087500000000006,97.8125
CLORETO_TOTAL,71,5.985,22.759999999999998,16.775,-19.1775,47.9225
FLUORETO_TOTAL,20,0.05,0.1,0.05,-0.02500000000000001,0.17500000000000002
BROMETO_TOTAL,20,0.05,0.1,0.05,-0.02500000000000001,0.17500000000000002
NITRATO,59,0.05,1.97,1.92,-2.83,4.85
NITRITO,20,0.05,0.1,0.05,-0.02500000000000001,0.17500000000000002
SULFATO,20,1.5125000000000002,3.9275,2.415,-2.11,7.550000000000001
FOSFATO_TOTAL,20,0.05,0.1,0.05,-0.02500000000000001,0.17500000000000002
ORTOFOSFATO,39,0.0,1.355,1.355,-2.0324999999999998,3.3874999999999997
FOSFORO_TOTAL,39,0.0,0.79,0.79,-1.185,1.975
NITROGENIO_AMONIACAL,39,0.01,0.18,0.16999999999999998,-0.245,0.435
