,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
PH,0.07660764275392289,0.45808697243400043,0.3072631878345034,-0.14971666976997433,0.01628635667990073,-0.33379003126171675,0.005599415531016716,-0.2643292287499115,-0.1119174887066282,0.0895452949120574,-0.020604219633049675,-0.34554562548803425,0.5876527845148946,-0.013173060209846934
TURBIDEZ,0.19497035360152218,0.10990954382184182,-0.4762434914095668,0.07034174203307814,-0.021942628335673516,-0.17828296551127942,-0.3878876410382512,-0.3428009314246879,0.11750754070035556,-0.10348958230927072,0.4502036770208353,-0.3566775832261213,-0.2505014779807856,0.027270475020892974
TEMPERATURA_AGUA,0.06191140121368521,0.45770510104153683,0.05754602644518053,0.3450478057397685,0.2973791847353333,0.10724691450019813,-0.001961528421265235,0.004531717067548319,0.41167405273872026,-0.007266738504630145,0.31469183718921545,0.5238291432103804,0.14611378406895653,-0.00610970425245693
COND_ELETRICA_ESPECIFICA,0.5183972997121934,-0.0988170766652645,0.011180108479227308,0.10875261759468187,0.03588093598198627,-0.08695271732887498,0.0771152795619581,-0.03476742510958171,0.21769145082501545,0.2305555439211517,-0.2872930911128088,-0.026005044799710393,-0.03850061016652618,0.7129531789733377
TEMPERATURA_AR,-0.045526194555488654,0.0347151339508953,-0.13394406216741264,0.6463083268020997,0.23738300778860288,-0.2680047448240636,0.45651254890729687,0.15625219611746533,-0.3515855542347495,-0.1228908289262186,0.024903292306707504,-0.23737679470115886,-0.06624642488872261,-7.101063780147422e-05
OXIGENIO_DISSOLVIDO,-0.04279762030916964,0.4792803903586531,0.20449469975209944,-0.33360083260850704,0.0008570048666313879,-0.012297933963864527,0.4178145393478067,-0.020097779519383796,0.11214315572366329,0.016385360551445582,0.02067023988792538,-0.13448179347711647,-0.6388626985783558,0.026897268557612583
SALINIDADE,0.5171341414595959,-0.09154489125626725,0.0021223665951863382,0.11533266172997123,0.02347338818925111,-0.08372083535190403,0.07612697941191579,-0.050901442299404964,0.23674437146403182,0.25019372424589337,-0.27595675220504856,-0.052902087569489394,-0.0891063829892775,-0.6995739623186858
ALCALINIDADE,0.20150191229742317,0.10202026867685177,0.42347602362888076,0.18815932625936815,-0.21797402554543124,-0.3243498155667272,-0.41234753765116583,0.017135407385411472,-0.24771625764514482,-0.4229609646931233,-0.15338946660699515,0.26374880940051554,-0.27897975177133116,-0.005708767675137376
SOLIDOS_DISSOLVIDOS,0.36651054721192483,-0.24897124053856184,0.04069499797948349,-0.17072767129250238,-0.10692962740715649,0.12165901818197969,0.4698853993082983,-0.42773356573213245,-0.17052866393188962,-0.3864205049825676,0.3061983741495364,0.23180917697812992,0.12991350132309143,-0.011174852107037154
TRANSPARENCIA_AGUA,-0.11784654184458314,-0.23745064813071387,0.4265571943494862,0.15864933792108282,0.28527160730409307,0.0997960020386349,-0.1358660172677635,-0.42011785305935295,-0.26363743392405214,0.5106132353699792,0.23400565827411507,0.027261855749892164,-0.22455197731798693,0.012449603913733487
SOLIDOS_SUSPENSOS,0.32905289078876,0.19671148170279418,-0.2458092202134278,-0.24400728646693426,-0.04389083545929996,-0.09479209486523185,-0.03970707992882826,0.3791833871657965,-0.5282702517365955,0.3894015976146342,0.25666634012083855,0.28308498206007093,0.003762431882517507,-0.008153725920333798
PROFUNDIDADE,0.07961954231690378,0.18142506935760966,0.14117619618867977,0.37276963385008505,-0.6903845238185574,0.4796760030144168,0.036611415778556124,0.053935326405498536,-0.03556633900486196,0.15762965184085695,0.14618142570220966,-0.20412166514152608,0.039465742553751446,0.013572057967876909
CLORETO_TOTAL,0.3229500371470174,0.06811332555366616,0.1731410590663765,-0.08009957996751033,0.47967990962399343,0.5432864375070325,-0.19854958999973266,0.2512357441631598,-0.15345018018301956,-0.2909546264630089,0.008620545654196989,-0.3438821623128815,0.017106880193601667,-0.007233150086316453
NITRATO,-0.06696599981171436,0.338370553392748,-0.377242029607976,0.06936905406508437,0.06043595737378019,0.3074931526654354,-0.05631921835428712,-0.4630567438139879,-0.31738860434645416,-0.004168954310447162,-0.5279762558888685,0.19228760182183866,-0.04015518954776846,-0.0007539763499690217
