,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
PH,-0.3355722814649792,0.26030891475880674,0.19960742762391395,0.4173760137642526,-0.08895252710426385,0.21238040385671667,0.02669796057565408,-0.052424501473350045,-0.18606264080938714,0.22791433055208365,0.23865182590613354,-0.2745836025495871,0.5742447001622014,-0.020820193781917944
TURBIDEZ,0.32390422821861964,0.3587516378495653,-0.07118349874481836,-0.03903766880389292,-0.0514178484813933,-0.014859435095801898,-0.24752835507658782,-0.06260382373804264,-0.5461722091546363,0.042298679400534805,-0.31769728540272657,-0.4937602730909318,-0.21337496706232378,0.03721895484784449
TEMPERATURA_AGUA,-0.16948586676547406,0.37888228026294074,0.3314966010944829,-0.14889030559831012,0.21713838461041765,0.07862320380188445,0.23240675923535925,0.1528171938098169,-0.1860567216714891,-0.08147879244329301,-0.5450226053834135,0.45340147118873014,0.1449253330058432,-0.009272131504218229
COND_ELETRICA_ESPECIFICA,0.4412274014509605,0.05514697864402286,0.34877547940990405,0.20582735004375835,0.036990830603602746,0.003429151889818313,0.08239059819969438,0.2774255991995984,0.06983118967650447,0.07296674090582808,0.18184318056291163,0.06425142433502512,-0.03747006473618415,0.7101654522500609
TEMPERATURA_AR,0.11034127418115919,0.10608217707205585,0.36698620083739825,-0.45583249881023674,0.027827506008958527,0.519393471861914,0.11003838144124174,-0.40844384820768675,0.31152979105505263,-0.08023811387377842,0.07456259693399203,-0.27221789922738276,-0.03845014387280232,-0.0009593710126636549
OXIGENIO_DISSOLVIDO,-0.3785453471734024,0.27619457254586566,-0.08533046597387545,0.31477639057861595,-0.05895196772538043,0.14676347805872983,0.411849300059501,0.09606635856642778,0.1180017483142135,-0.022641171421759504,0.03760469627803838,-0.14699790566703447,-0.6565302822722462,0.0412252992779515
SALINIDADE,0.4402290612905255,0.06828759283789558,0.34715670737510584,0.1951159256822582,0.022462451278508686,-0.005436713496512216,0.09136689609787332,0.29990145166894805,0.05296948748803791,0.09281314476393221,0.16902616801880369,0.02304953484229784,-0.11187014437570714,-0.7007768276438582
ALCALINIDADE,-0.18452451037171771,-0.06359530838243144,0.49352991801345225,0.21626564157207356,-0.20307251231547988,-0.11964604167593823,-0.4204889667379538,-0.3697116089596003,-0.2068546719800448,-0.29670940822813263,0.13440258480657297,0.2673692801606036,-0.28656704105183695,-0.004010559266847051
SOLIDOS_DISSOLVIDOS,0.29753872165008693,-0.22414613969375913,-0.14178413429612055,0.15181956100055835,-0.16182887341747704,0.09955574626172646,0.5893766263137509,-0.46310602724469807,-0.4059304308727587,0.015052870241712972,0.032871393198530156,0.2287023275184138,0.04068523160774483,-0.009934362228382591
TRANSPARENCIA_AGUA,-0.18801050982980017,-0.41530195305228784,0.19914851688946397,-0.10642256622620036,0.19564794729751692,0.18038975614215635,-0.0966533593605147,0.03252305383714737,-0.21379053738088744,0.7364772515787309,-0.0825338035219215,0.03608716464172713,-0.25174063464914354,0.019484404479669523
SOLIDOS_SUSPENSOS,0.19097332495508398,0.37810519747824295,-0.16854072755631352,0.2579681268162701,-0.018232844588901353,-0.09292893323062082,-0.19684314895165358,-0.43333487919455993,0.42651509956985434,0.4479314766908456,-0.195097161687945,0.26263120304992466,-0.02083768385928454,-0.009356979961203405
PROFUNDIDADE,-0.11901396988720904,0.1015713871452151,0.2735056030256102,-0.33955137158835547,-0.40076489823755546,-0.6599209055471864,0.3007693635957435,-0.05812484943392161,0.054292709063101484,0.2493916752913444,0.03412064150967103,-0.16808890079301836,0.023565807004687585,0.018770083788101567
CLORETO_TOTAL,-0.03034256527033164,0.0620676078325101,0.06104469202275027,0.052283487170910754,0.8182292220769568,-0.3836854547475788,0.12305521470809398,-0.2789557965872458,-0.057855803046192714,-0.06948637354756906,0.21341844491451814,-0.1574999149416319,-0.02301417240727078,-0.0059544060163085125
NITRATO,-0.017733251685396696,0.42526374377458087,-0.22539989932915122,-0.3861093291656685,-0.004778901472581082,0.09502019054543903,-0.09628056381780135,0.07637280003222412,-0.26891864331039794,0.14285974870749252,0.604750075073721,0.3573970169244126,-0.09280583429883793,0.0014060071149723807
