PARAMETRO,N_TOTAL_AMOSTRAS,N_VALIDAS_APOS_FLAG,N_VALIDO_PARAMETRO,PERC_PREENCHIMENTO,N_OUTLIERS_IQR,PERC_OUTLIERS_SOBRE_VALIDOS,COBERTURA
PH,340,331,316,95.5,29,9.2,ROBUSTO
TURBIDEZ,340,331,316,95.5,33,10.4,ROBUSTO
TEMPERATURA_AGUA,340,331,315,95.2,7,2.2,ROBUSTO
COND_ELETRICA_ESPECIFICA,340,331,315,95.2,42,13.3,ROBUSTO
TEMPERATURA_AR,340,331,313,94.6,10,3.2,ROBUSTO
OXIGENIO_DISSOLVIDO,340,331,311,94.0,16,5.1,ROBUSTO
SALINIDADE,340,331,295,89.1,42,14.2,ROBUSTO
ALCALINIDADE,340,331,219,66.2,5,2.3,MODERADO
SOLIDOS_DISSOLVIDOS,340,331,205,61.9,33,16.1,MODERADO
TRANSPARENCIA_AGUA,340,331,202,61.0,4,2.0,MODERADO
SOLIDOS_SUSPENSOS,340,331,174,52.6,9,5.2,MODERADO
PROFUNDIDADE,340,331,100,30.2,6,6.0,MODERADO
CLORETO_TOTAL,340,331,71,21.5,11,15.5,MODERADO
NITRATO,340,331,59,17.8,10,16.9,MODERADO
ORTOFOSFATO,340,331,39,11.8,2,5.1,BAIXO (cautela na interpretacao)
FOSFORO_TOTAL,340,331,39,11.8,1,2.6,BAIXO (cautela na interpretacao)
NITROGENIO_AMONIACAL,340,331,39,11.8,0,0.0,BAIXO (cautela na interpretacao)
VAZAO,340,331,33,10.0,5,15.2,BAIXO (cautela na interpretacao)
FLUORETO_TOTAL,340,331,20,6.0,0,0.0,BAIXO (cautela na interpretacao)
BROMETO_TOTAL,340,331,20,6.0,4,20.0,BAIXO (cautela na interpretacao)
NITRITO,340,331,20,6.0,0,0.0,BAIXO (cautela na interpretacao)
SULFATO,340,331,20,6.0,3,15.0,BAIXO (cautela na interpretacao)
FOSFATO_TOTAL,340,331,20,6.0,0,0.0,BAIXO (cautela na interpretacao)
