RNQA,CORPODAGUA,LATITUDE,LONGITUDE,N_AMOSTRAS,PH,TURBIDEZ,TEMPERATURA_AGUA,COND_ELETRICA_ESPECIFICA,TEMPERATURA_AR,OXIGENIO_DISSOLVIDO,SALINIDADE,ALCALINIDADE,SOLIDOS_DISSOLVIDOS,TRANSPARENCIA_AGUA,SOLIDOS_SUSPENSOS,PROFUNDIDADE,CLORETO_TOTAL,NITRATO
MA-7164-I-19,RIO ITAPECURU,-3.6276887692307693,-44.68708261538462,19,6.985,44.885000000000005,28.89,81.1,27.990000000000002,6.99,0.035,28.0,100.0,0.25,37.23,0.20500000000000002,16.0,8.86
MA-7181-I-1,RIO ITAPECURU,-3.3913345,-44.368663437500004,21,7.135,27.744999999999997,29.835,72.55,26.63,7.45,0.03,28.0,61.735,0.3,23.33,0.204,9.685,4.43
MA-7181-I-2,RIO ITAPECURU,-3.159679411764706,-44.42374482352941,21,6.6899999999999995,21.725,29.785,71.95,26.07,6.92,0.03,28.0,119.685,0.3,51.0,0.296,5.325,0.05
MA-7181-I-3,RIO ITAPECURU,-3.613585875,-44.3989642,21,7.165,31.025,29.42,72.6,27.03,7.32,0.03,24.0,112.92,0.3,20.0,0.1215,9.48,0.05
MA-7181-I-4,RIO ITAPECURU,-3.0640515384615385,-44.25396,16,7.02,36.54,29.8,72.01,26.57,6.56,0.03,20.0,128.02,0.42500000000000004,46.67,0.0,34.565,0.05
MA-7182-I-2,RIO PERITORO,-3.816357357142857,-44.28251671428571,15,6.85,47.7,29.34,260.5,26.96,5.25,0.125,23.0,220.0,0.3,33.5,0.094,23.26,0.22
MA-7182-I-3,RIO PERITORO,-3.8627155714285712,-44.28722335714286,15,7.02,55.16,29.04,289.20000000000005,27.98,6.23,0.14,20.0,299.62,0.2,35.0,0.165,21.775,0.27
MA-7183-I-3,RIO ITAPECURU,-4.180475363636363,-44.393915,14,7.47,21.509999999999998,30.42,82.25,28.16,8.1,0.035,26.5,120.0,0.4,36.0,0.2,14.85,0.58
MA-7183-I-4,RIO ITAPECURU,-3.964672923076923,-44.18775076923077,16,7.32,23.979999999999997,30.33,79.15,28.08,7.98,0.035,22.0,100.0,0.35,19.1,0.087,12.024999999999999,0.91
MA-7184-I-1,RIO CODOZINHO,-5.159613428571428,-44.07286942857143,8,6.43,74.945,29.225,252.7,28.134999999999998,2.63,0.12000000000000001,41.0,160.11,0.3,33.0,0.275,13.86,0.3
MA-7185-I-1,RIACHO PERITORO,-3.688399857142857,-44.278877,15,6.85,37.35,28.36,157.7,27.51,6.22,0.08,31.0,240.0,0.3,19.15,0.37,35.63,0.4
MA-7185-I-10,RIO ITAPECURU,-4.61301575,-43.52244072727273,14,6.949999999999999,27.86,28.985,65.35,25.965,7.359999999999999,0.03,22.5,70.0,0.3,33.5,0.211,14.85,0.21
MA-7185-I-11,RIO ITAPECURU,-4.769167538461539,-43.378071923076924,16,7.09,27.91,28.89,57.3,25.92,7.17,0.025,20.0,120.0,0.3,23.299999999999997,0.1,9.83,0.31
MA-7185-I-12,RIO ITAPECURU,-4.772005285714286,-43.730220499999994,16,7.15,26.07,28.735,44.400000000000006,26.63,7.39,0.02,21.0,60.0,0.3,15.600000000000001,0.05,10.49,0.13
MA-7185-I-3,RIO TAPUIO,-4.018363666666667,-44.4429102,20,6.9,42.27,29.27,183.9,27.145000000000003,3.8150000000000004,0.09,31.0,180.0,0.15,14.58,0.0,19.8,1.13
MA-7185-I-5,RIO PIRAPEMAS,-3.905424333333333,-44.031455916666665,16,6.56,11.46,31.650000000000002,185.64999999999998,27.11,7.234999999999999,0.08499999999999999,16.0,165.7,0.8,12.975,0.072,33.25,0.1
MA-7185-I-6,RIO ITAPECURU,-5.320124857142857,-43.83488757142857,8,6.92,32.55,28.54,58.0,26.96,7.31,0.03,21.0,60.0,0.3,8.6,0.6385000000000001,23.75,0.1
MA-7185-I-7,RIO ITAPECURU,-4.434801888888888,-43.94024190909091,13,7.27,37.86,30.38,67.5,27.73,7.52,0.03,20.0,60.0,0.4,46.4,0.196,11.88,0.27
MA-7185-I-8,RIO ITAPECURU,-4.838090333333334,-43.35337575,13,6.95,27.43,29.05,58.2,26.16,7.17,0.03,23.0,80.0,0.6,15.2,0.091,15.85,0.38
MA-7185-I-9,RIO ITAPECURU,-4.4821475,-44.043465,4,7.33,37.455,31.735,46.9,28.16,7.49,0.02,13.0,240.0,0.30000000000000004,21.0,0.04,0.002,
MA-7187-I-1,RIO ITAPECURU,-6.01161,-44.2381,2,6.695,40.24,25.634999999999998,23.15,25.560000000000002,7.635,,,,,,,,
MA-7187-I-11,RIO ITAPECURU,,,1,6.51,14.87,29.76,16.2,27.78,7.46,0.01,24.0,10.54,0.3,,0.144,,
MA-7187-I-2,RIO ITAPECURU,,,1,6.62,25.65,30.125,16.7,26.35,7.54,0.01,10.0,11.89,0.3,,0.247,,
MA-7187-I-4,RIO ITAPECURU,-6.01763,-44.3196,3,6.64,6.66,27.3,13.8,25.92,7.5,0.0,18.0,8.99,0.6,,0.232,,
MA-7189-I-4,RIO ITAPECURU,,,1,6.34,19.92,28.19,10.8,24.34,7.35,0.0,12.0,7.0,0.3,,0.152,,
MA-7191-IE-4,RIO ITAPECURU,-2.9033431176470588,-44.24582335294117,21,7.345,67.145,29.5285,145.9,26.384999999999998,6.949999999999999,0.1,32.0,170.0,0.2,56.5,0.503,14.0,1.46
MA-7199-I-1,RIO ITAPECURU,,,1,5.72,17.25,28.19,10.3,24.69,7.41,0.0,8.0,6.69,0.6,,0.124,,
