RNQA,CORPODAGUA,N_AMOSTRAS,LATITUDE,LONGITUDE,PC1,PC2,PC3,PC4,PC5,CLUSTER
MA-7164-I-19,RIO ITAPECURU,19,-3.6276887692307693,-44.68708261538462,0.435979942842875,-0.36812856102634495,-0.7688317139368133,0.9768864407720443,0.22444568780871643,1
MA-7181-I-1,RIO ITAPECURU,21,-3.3913345,-44.368663437500004,-0.6038040854586814,-0.7772912220898859,-0.15292305618686106,-0.3306266782393466,-0.2143111579443184,1
MA-7181-I-2,RIO ITAPECURU,21,-3.159679411764706,-44.42374482352941,-0.9523586706070508,0.3068555816585281,0.706623692974921,-0.283144534531361,-0.2831265038835571,1
MA-7181-I-3,RIO ITAPECURU,21,-3.613585875,-44.3989642,-0.3728537046202502,-0.7097778237210625,-0.5147197433498579,0.041139263420012354,0.024514349513397597,1
MA-7181-I-4,RIO ITAPECURU,16,-3.0640515384615385,-44.25396,-0.12144216884766197,-0.24532526478592076,-0.10856279699808523,0.10167173624811297,-0.7128073653619345,1
MA-7182-I-2,RIO PERITORO,15,-3.816357357142857,-44.28251671428571,3.0363929452134384,1.0664700998268193,0.2788563773880112,-0.8426983768724723,0.2908145126399334,0
MA-7182-I-3,RIO PERITORO,15,-3.8627155714285712,-44.28722335714286,3.6491857827325895,0.3464756531067149,-0.3244850281357684,-0.8322308957288614,0.9878047237437022,0
MA-7183-I-3,RIO ITAPECURU,14,-4.180475363636363,-44.393915,-0.19312579677393016,-2.4954786838811844,-0.1027631529835043,-0.03550753504880525,0.6188064953575245,1
MA-7183-I-4,RIO ITAPECURU,16,-3.964672923076923,-44.18775076923077,-0.19270151126923057,-2.1366958616143514,0.029026843994713888,0.09400740249254426,0.5100703613316169,1
MA-7184-I-1,RIO CODOZINHO,8,-5.159613428571428,-44.07286942857143,4.7983527023933945,2.1501447061382755,0.5807071902927042,1.4248490869398265,-0.6236537468234633,0
MA-7185-I-1,RIACHO PERITORO,15,-3.688399857142857,-44.278877,1.2631723000988053,0.7721440553759603,-0.45674603272460124,0.1857252591690182,0.9512823413740048,0
MA-7185-I-10,RIO ITAPECURU,14,-4.61301575,-43.52244072727273,-0.9955412999808287,0.29776848458172633,-0.4656589194252716,-0.4487515307054981,-0.1527219354587007,1
MA-7185-I-11,RIO ITAPECURU,16,-4.769167538461539,-43.378071923076924,-1.0180710781907685,0.19114561964677962,-0.7706410078126265,-0.3836724996640715,-0.23541519724082632,1
MA-7185-I-12,RIO ITAPECURU,16,-4.772005285714286,-43.730220499999994,-1.0556696204311908,-0.23323003017270544,-0.9343292538886723,0.07210670102948347,0.2034962620553194,1
MA-7185-I-3,RIO TAPUIO,20,-4.018363666666667,-44.4429102,2.5077414404679836,1.15457638864911,0.22993959183025292,0.45708949641695,-0.12921443092002596,0
MA-7185-I-5,RIO PIRAPEMAS,16,-3.905424333333333,-44.031455916666665,0.5587547440685734,-0.8510916621757474,2.7549428827895164,-1.170948937065702,0.510117057399979,1
MA-7185-I-6,RIO ITAPECURU,8,-5.320124857142857,-43.83488757142857,-0.6311682142615845,0.18277799286880775,-0.7601999778775642,0.356466555204306,0.3201672651392644,1
MA-7185-I-7,RIO ITAPECURU,13,-4.434801888888888,-43.94024190909091,0.09808315933237739,-1.7575056373103182,-0.19036093411186572,0.29464080885033495,-0.35974740868692295,1
MA-7185-I-8,RIO ITAPECURU,13,-4.838090333333334,-43.35337575,-0.9190245939501732,0.21984283868566812,-0.3926353293237768,-0.23794648539800065,-0.1374031161353478,1
MA-7185-I-9,RIO ITAPECURU,4,-4.4821475,-44.043465,0.1560221898117595,-2.854749119502818,0.5994486769358858,0.5425446897801752,-0.9372495875794231,1
MA-7187-I-11,RIO ITAPECURU,1,,,-1.4514852596042485,-0.48838849305451326,1.079886796617509,1.1280164824031662,0.5914185011277657,1
MA-7187-I-2,RIO ITAPECURU,1,,,-1.5453466433789953,-0.20130925835523894,0.7779650720341079,0.17844220301196045,-0.6684575496537826,1
MA-7187-I-4,RIO ITAPECURU,3,-6.01763,-44.3196,-2.6750266278896664,1.4478308331489955,-0.7390921222886483,0.2771176497127336,1.1387194641231038,1
MA-7189-I-4,RIO ITAPECURU,1,,,-2.781596083575691,2.2053425607556574,-0.06279429831219194,-0.4872623455436628,-0.5569074804034595,1
MA-7191-IE-4,RIO ITAPECURU,21,-2.9033431176470588,-44.24582335294117,2.0015994540851407,-0.18615899679104864,-1.3407270269026614,-1.1251310736248836,-1.1381384702032609,0
MA-7199-I-1,RIO ITAPECURU,1,,,-2.9960693022069846,2.9637558000380975,1.048073269401148,0.04721711697199626,-0.22250307131930422,1
